repo,stars,releases,age_years,files,code,comment,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
daimajia/AndroidViewAnimations,12472,9,11.197426,68,1505,1464,82,3.378049,2.0,7.030165,1.804878,2.0,0.398733,2.292683,0.0,12.889356
metersphere/metersphere,12422,179,5.582298,2705,287616,26975,3704,6.678186,3.0,11.37494,1.298056,1.0,0.546253,445.991631,0.0,3758.162169
daimajia/AndroidSwipeLayout,12404,18,11.024911,22,2667,209,74,3.716216,2.0,4.944958,1.324324,1.0,0.599271,58.905405,0.0,480.284395
pagehelper/Mybatis-PageHelper,12337,15,11.234427,161,8590,5907,181,5.812155,6.0,4.901028,1.441989,1.0,0.851929,29.640884,0.0,190.394031
redis/jedis,12145,114,15.229232,844,127860,21940,1221,5.538084,3.0,8.760262,1.420147,1.0,0.850971,530.371826,1.0,14553.310212
amitshekhariitbhu/android-interview-questions,12044,0,8.151236,1,5,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Yalantis/uCrop,12037,20,9.660374,35,4849,992,77,6.337662,3.0,8.658142,1.363636,1.0,0.841507,28.909091,1.0,81.545141
plantuml/plantuml,12011,57,14.82918,3438,234259,159883,3935,7.133164,5.0,7.562991,1.542313,1.0,0.910692,36.508513,1.0,623.311074
Tencent/matrix,11897,16,6.728883,486,64589,10240,1393,5.680546,3.0,7.131707,1.343144,1.0,1.013549,12.894472,0.0,65.669154
Tencent/VasSonic,11869,10,8.089429,47,7048,3078,111,4.198198,2.0,4.900501,1.279279,1.0,0.590395,21.612613,0.0,96.042526
